,id_str,created_at,text_tweet,text_concept,truncated,retweet_count,type,in_reply_to_status_id_str,in_reply_to_user_id_str
73,1207352325230256128,Wed Dec 18 17:30:00 +0000 2019,"Protests against the #CitizenshipAmendmentAct are emerging across the country.  @HamsadhwaniA tells us how #Chennai raised its voice against the Act and the #PoliceViolence that followed.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence

https://t.co/IfL0XFERoc",policeviolence,True,0,hashtag,,
74,1207352325230256128,Wed Dec 18 17:30:00 +0000 2019,"Protests against the #CitizenshipAmendmentAct are emerging across the country.  @HamsadhwaniA tells us how #Chennai raised its voice against the Act and the #PoliceViolence that followed.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence

https://t.co/IfL0XFERoc",indiarejectscaa,True,0,hashtag,,
75,1207352325230256128,Wed Dec 18 17:30:00 +0000 2019,"Protests against the #CitizenshipAmendmentAct are emerging across the country.  @HamsadhwaniA tells us how #Chennai raised its voice against the Act and the #PoliceViolence that followed.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence

https://t.co/IfL0XFERoc",indiarejectsnrc,True,0,hashtag,,
76,1207352325230256128,Wed Dec 18 17:30:00 +0000 2019,"Protests against the #CitizenshipAmendmentAct are emerging across the country.  @HamsadhwaniA tells us how #Chennai raised its voice against the Act and the #PoliceViolence that followed.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence

https://t.co/IfL0XFERoc",policestopviolence,True,0,hashtag,,
77,1207346886186659840,Wed Dec 18 17:08:23 +0000 2019,"As of December 16, #Kashmir 's internet blockade became the longest ever to have been imposed by a democratic state.

We have no choice but to wonder, #AccheDinKahaanHai ? https://t.co/myC2SwLSkP",kashmir,True,20,hashtag,,
78,1207346886186659840,Wed Dec 18 17:08:23 +0000 2019,"As of December 16, #Kashmir 's internet blockade became the longest ever to have been imposed by a democratic state.

We have no choice but to wonder, #AccheDinKahaanHai ? https://t.co/myC2SwLSkP",acchedinkahaanhai,True,20,hashtag,,
79,1207337225362563073,Wed Dec 18 16:30:00 +0000 2019,"“Are you going for the #protest in the evening?”—a very common question asked around in the workplaces, universities and localities in Delhi this week. 

@mira_cle12 gives us a glimpse of these protests. 

https://t.co/uSxS1JMSRy",protest,True,3,hashtag,,
80,1207322125578539008,Wed Dec 18 15:30:00 +0000 2019,"What the #police indulged in were acts of #violence against the unarmed protestors, thereby going against the very basic responsibility they were entrusted with – protecting the defenseless and capturing the real criminals. 

#IndiaRejectsCAA_NRC 

https://t.co/OefGMMbgzV",police,True,4,hashtag,,
81,1207322125578539008,Wed Dec 18 15:30:00 +0000 2019,"What the #police indulged in were acts of #violence against the unarmed protestors, thereby going against the very basic responsibility they were entrusted with – protecting the defenseless and capturing the real criminals. 

#IndiaRejectsCAA_NRC 

https://t.co/OefGMMbgzV",violence,True,4,hashtag,,
82,1207322125578539008,Wed Dec 18 15:30:00 +0000 2019,"What the #police indulged in were acts of #violence against the unarmed protestors, thereby going against the very basic responsibility they were entrusted with – protecting the defenseless and capturing the real criminals. 

#IndiaRejectsCAA_NRC 

https://t.co/OefGMMbgzV",indiarejectscaa_nrc,True,4,hashtag,,
83,1207316337900441603,Wed Dec 18 15:07:00 +0000 2019,Many thanks to @ruchiks127 for volunteering her time to create this video! ♥️,,False,0,,1.2073160603507343e+18,2247560024.0
84,1207316060350734336,Wed Dec 18 15:05:54 +0000 2019,"Why should you attend the #CAAProtests? Because protests work, and this is THE time to show up and display our resistance publicly and openly. Join the national protest march on 19th Dec (tomorrow!) in your city. #IndiansAgainstCAA https://t.co/ZHTIuAWcPv",caaprotests,True,304,hashtag,,
85,1207316060350734336,Wed Dec 18 15:05:54 +0000 2019,"Why should you attend the #CAAProtests? Because protests work, and this is THE time to show up and display our resistance publicly and openly. Join the national protest march on 19th Dec (tomorrow!) in your city. #IndiansAgainstCAA https://t.co/ZHTIuAWcPv",indiansagainstcaa,True,304,hashtag,,
86,1207308303300276227,Wed Dec 18 14:35:04 +0000 2019,"Migrant 
rights
are 
human
rights.

#MigrantsDay #WomensProgress2019 https://t.co/6nsNTVTOJB",,False,128,,,
87,1207307027799793667,Wed Dec 18 14:30:00 +0000 2019,"Fire is an apt representation of the suppression of female #sexuality and the denial of a woman’s agency in a patriarchal society, in addition to being one of the first #Bollywood films to explore the theme of #homosexuality .

#FIIReviews

https://t.co/Q56wuv7kW9",sexuality,True,1,hashtag,,
88,1207307027799793667,Wed Dec 18 14:30:00 +0000 2019,"Fire is an apt representation of the suppression of female #sexuality and the denial of a woman’s agency in a patriarchal society, in addition to being one of the first #Bollywood films to explore the theme of #homosexuality .

#FIIReviews

https://t.co/Q56wuv7kW9",bollywood,True,1,hashtag,,
