created_at,id_str,text,truncated,geo,coordinates,place,retweet_count,favourite_count,in_reply_to_status_id_str,in_reply_to_user_id_str,lang
Tue Dec 17 14:35:06 +0000 2019,1206945920480362496,"Every child has a right to a name, nationality and legal identity. 

We must not stop until every child is counted and protected.

#ForEveryChild, a birth certificate. v @UNICEF https://t.co/KBTFoc5Yim",True,,,,185,,,,en
Tue Dec 17 14:30:00 +0000 2019,1206944638155624448,"""After a reading of the Preamble of the #ConstitutionofIndia , protesters sat in front of the barricades demanding the end of the #policebrutality inflicted on the student protesters at #JamiaMilliaIslamia University and the #AMU ."" - @GurshabadGrover  

https://t.co/RJ9hLVrIaI",True,,,,1,,,,en
Tue Dec 17 13:30:00 +0000 2019,1206929539731001346,"#CBMuthamma believes social justice is an integral part of our #constitution where gender justice will remain a non-negotiable article of faith. 

#IndianWomenInHistory

https://t.co/FfkwkCBjWD",True,,,,0,,,,en
Tue Dec 17 11:45:23 +0000 2019,1206903211640049664,We need to keep this momentum going. The Govt. has gotten away with impunity for its undemocratic and repressive actions for too long. Register your protest NOW and keep at it. Take the day off from work. Show up for all protests that you can. Democracy is seriously worth it.,True,,,,8,,1206903209886773248,2247560024,en
Tue Dec 17 11:45:23 +0000 2019,1206903209886773248,"However, the mass public resistance against #CAA gives hope in these dark times. Protests are being spontaneously organised in all major towns and cities in the country over multiple days. And the public discourse on the issue on social media has been exceptionally vigourous.",True,,,,4,,1206903207827369984,2247560024,en
Tue Dec 17 11:45:22 +0000 2019,1206903207827369984,"The #CAA protects non-muslims from statelessness, in a situation of failure to prove their citizenship in an NRC exercise. Where as, Muslims, given the Govt.'s ideological leanings and power, are extremely vulnerable to being regarded as illegal citizens.",True,,,,3,,1206903206145454083,2247560024,en
Tue Dec 17 11:45:22 +0000 2019,1206903206145454083,"With the #CAA and the #NRC, the Govt. has successfully come up with an institutionalised mechanism to persecute Muslims in India. How, you ask? The burden of proving citizenship will lie with the citizens, with the state having  absolute control over the process.",True,,,,4,,1206903203926659072,2247560024,en
Tue Dec 17 11:45:21 +0000 2019,1206903203926659072,"The Personal Data Protection (PDP) Bill that was recently tabled in the Lok Sabha, if passed, will allow the Govt. to  access private data on grounds of sovereignty or public order. This has dangerous implications, and can be used to implicate dissenting voices.",True,,,,4,,1206903201829511168,2247560024,en
Tue Dec 17 11:45:21 +0000 2019,1206903201829511168,"India's already ranked 140th of out 180 countries in terms of press freedom, &amp; the Govt's plans to further curb this freedom with its draft Registration of Press and Periodical (RPP) Bill, 2019, requiring publishers of news on Digital Media shall register themselves with the Gov.",True,,,,3,,1206903199912714241,2247560024,en
Tue Dec 17 11:45:20 +0000 2019,1206903199912714241,"Abrogation of article 370, the Transgender Persons bill, the #NRC, the #CAA, the UAPA, internet shut downs, were some anti-democracy steps taken by this government only in the first few months since it's re-election. One can only imagine what's in store for the next 4 years.",True,,,,4,,1206903198167920641,2247560024,en
Tue Dec 17 11:45:20 +0000 2019,1206903198167920641,"Thread: Why we need to #protest now more than ever

The #BJP Government is relentless in its project to make India a Hindu Rashtra. It has successfully passed several undemocratic &amp; unconstitutional laws since coming to power, and invariably gotten away with impunity.",True,,,,39,,,,en
Tue Dec 17 11:35:04 +0000 2019,1206900615315636225,"“People often mistake someone coming out as bisexual as a sexual invitation.”

— @robynochs, bisexual activist &amp; educator in @TeenVogue. https://t.co/VwoKvjYWRL",True,,,,79,,,,en
Tue Dec 17 11:30:00 +0000 2019,1206899339076833281,"India has many known and unknown women who have succumbed to bhaya and the birth of every #Nirbhaya makes bhaya stronger and mightier.

https://t.co/iOsIzIwj7t",True,,,,3,,,,en
Tue Dec 17 11:00:00 +0000 2019,1206891791049461761,"#Rape accused, fugitive and infamous #SwamiNithyananda , according to various sources, has formed his very own nation and named it #Kailaasa .

Is this #justice ?

https://t.co/0aMaxpmWyB",True,,,,1,,,,en
Tue Dec 17 11:00:00 +0000 2019,1206891791049461761,"#Rape accused, fugitive and infamous #SwamiNithyananda , according to various sources, has formed his very own nation and named it #Kailaasa .

Is this #justice ?

https://t.co/0aMaxpmWyB",True,,,,1,,,,en
Tue Dec 17 10:26:03 +0000 2019,1206883248472616960,"HYDERABAD
- Dec 17th: 6PM | Osmania University",False,,,,4,,1206863587383267330,2247560024,en
